Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.4454E-17,-0.0133,-0.0071149,0,0,0,0.12057,4.7401E-05,-1.645E-21,-9.2245E-20,8.3189E-05,-4.1116E-21,8.7238E-05,0,0,0,0,0,0,package://fishing_assy2_collisional/meshes/base_link.STL,0.76078,0.4,0.18039,0.3,0,0,0,0,0,0,package://fishing_assy2_collisional/meshes/base_link.STL,,Base_Collision-1,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-2.2511E-16,0,0.02395,0,0,0,0.066217,2.2808E-05,-3.7834E-22,-3.2526E-21,2.2536E-05,-6.0422E-22,1.3637E-05,0,0,0,0,0,0,package://fishing_assy2_collisional/meshes/Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://fishing_assy2_collisional/meshes/Link_1.STL,,Link1_Collision-1,Link1_CS,Joint1_Axis,Joint_1,revolute,0,0,0.02335,0,0,0,base_link,0,0,1,2.5,5.76,-3.1416,3.1416,,,,,,,,
Link_2,-1.2926E-17,0.022633,0.084558,0,0,0,0.06469,0.00020862,4.7745E-22,1.8301E-20,0.00020517,-1.1469E-06,7.4616E-06,0,0,0,0,0,0,package://fishing_assy2_collisional/meshes/Link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://fishing_assy2_collisional/meshes/Link_2.STL,,Link2_Collision-1,Link2_CS,Joint2_Axis,Joint_2,revolute,0,-0.02335,0.03875,0,0,0,Link_1,0,1,0,2.5,5.76,-3.1416,3.1416,,,,,,,,
