Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.64494158785974E-06,-0.0124364350363364,-0.00800838743932182,0,0,0,0.10242435780476,3.44658980710862E-05,1.15685827535353E-08,-4.74633377970236E-09,7.35797461812803E-05,-3.93838381066106E-07,7.91602302077541E-05,0,0,0,0,0,0,package://fishing_assy2_combined/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fishing_assy2_combined/meshes/base_link.STL,,base^fishing_assy2_visual-1,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,1.98732975738997E-05,-0.000248210549754878,0.025285547707494,0,0,0,0.0497087584246774,1.48173848978349E-05,4.74633377970562E-09,1.15685827535328E-08,1.25308227827468E-05,3.93501789908991E-07,9.69942781916457E-06,0,0,0,0,0,0,package://fishing_assy2_combined/meshes/Link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fishing_assy2_combined/meshes/Link_1.STL,,link1^fishing_assy2_visual-1,Link1_CS,Joint1_Axis,Joint_1,revolute,0,0,0.02335,0,0,0,base_link,0,0,1,2.5,5.76,-3.1416,3.1416,,,,,,,,
Link_2,-0.000376762904282731,0.0228500014053185,0.0758975605697149,0,0,0,0.0374844556058819,9.81277949436277E-05,4.17865645290201E-13,8.66764648076052E-08,9.58497532082512E-05,1.55605785755593E-12,4.42186013584717E-06,0,0,0,0,0,0,package://fishing_assy2_combined/meshes/Link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fishing_assy2_combined/meshes/Link_2.STL,,rod_assy-1,Link2_CS,Joint2_Axis,Joint_2,revolute,0,-0.02335,0.03875,0,0,0,Link_1,0,1,0,2.5,5.76,-3.1416,3.1416,,,,,,,,
